"rank","movie","year_released","american_box_office","international_box_office","total_box_office"
2535,"No Good Deed",2014,52543632,1779578,54323210
2536,"Varsity Blues",1999,52894169,1400000,54294169
2537,"The Abyss",1989,54243125,0,54243125
2538,"La Bamba",1987,54215416,0,54215416
2539,"Domestic Disturbance",2001,45207112,9000000,54207112
2540,"Madea's Big Happy Family",2011,53345287,815531,54160818
2541,"Sinister 2",2015,27740955,26363270,54104225
2542,"The Three Stooges",2012,44338224,9714025,54052249
2543,"The Borrowers",1998,22619589,31426243,54045832
2544,"Les Visiteurs: La Révolution",2016,0,53999678,53999678
2545,"The Verdict",1982,53977250,0,53977250
2546,"Edward Scissorhands",1990,53976987,0,53976987
2547,"The Big Sick",2017,42872467,11100393,53972860
2548,"Aeon Flux",2005,25857987,28055586,53913573
2549,"Mickey Blue Eyes",1999,33864342,20000000,53864342
2550,"The International",2009,25450527,28400000,53850527
2551,"I, Tonya",2017,30014534,23782875,53797409
2552,"The Messengers",2007,35374833,18400000,53774833
2553,"The Three Musketeers",1993,53661805,0,53661805
2554,"Rookie of the Year",1993,53579269,0,53579269
2555,"Stranger Than Fiction",2006,40435190,13137632,53572822
2556,"Nine",2009,19676965,33831893,53508858
2557,"All the Money in the World",2017,25106325,28350102,53456427
2558,"Bounce",2000,36805288,16620004,53425292
2559,"RoboCop",1987,53424681,0,53424681
2560,"The Boy Next Door",2015,36006065,17395873,53401938
2561,"Eiga Youkai wocchi: Enma daiou to 5-tsu no mono…",2015,0,53396284,53396284
2562,"Throw Momma From the Train",1987,53380796,0,53380796
2563,"An Inconvenient Truth",2006,24146161,29219764,53365925
2564,"Molly’s Game",2017,28780744,24515680,53296424
2565,"Radio",2003,52333738,959890,53293628
2566,"Papillon",1973,53267000,25989,53292989
2567,"A Chinese Odyssey: Part Three",2016,0,53258383,53258383
2568,"Hollywood Adventures",2015,0,53246837,53246837
2569,"Arachnophobia",1990,53208180,0,53208180
2570,"Doubt",2008,33446470,19744631,53191101
2571,"Pitch Black",2000,39235088,13947000,53182088
2572,"Tyler Perry’s Temptation",2013,51975354,1167790,53143144
2573,"From Paris With Love",2010,24077427,29061741,53139168
2574,"That Awkward Moment",2014,26068955,27000000,53068955
2575,"Wickie und die starken Männer",2009,0,53049987,53049987
2576,"Konferenz der Tiere",2010,0,53048539,53048539
2577,"To the Limit",1989,53000000,0,53000000
2578,"The Sinking of Japan",2006,0,53000000,53000000
2579,"Suspect X",2008,0,53000000,53000000
2580,"Defiance",2009,28644813,24342941,52987754
2581,"My Cousin Vinny",1992,52929168,0,52929168
2582,"Message in a Bottle",1999,52880016,0,52880016
2583,"Outrageous Fortune",1987,52864741,0,52864741
2584,"Patriots Day",2016,31886361,20951628,52837989
2585,"Choi-jong-byeong-gi-hwal",2011,40685,52720006,52760691
2586,"American Gigolo",1980,22743674,30000000,52743674
2587,"Untraceable",2008,28687835,23962116,52649951
2588,"Beethoven's 2nd",1993,52636940,0,52636940
2589,"The Roommate",2011,37300107,15245600,52545707
2590,"Tyler Perry's A Madea Christmas",2013,52543354,0,52543354
2591,"Leokki",2016,466505,52024596,52491101
2592,"Big Fat Liar",2002,47811275,4649742,52461017
2593,"Wild",2014,37880356,14580187,52460543
2594,"The Night Before",2015,43035725,9391621,52427346
2595,"Mother’s Day",2016,32492859,19874163,52367022
2596,"Wo de te gong ye ye",2016,0,52352517,52352517
2597,"Le Petit Nicolas",2010,201857,52137709,52339566
2598,"Ordinary People",1980,52302978,0,52302978
2599,"The Color of Money",1986,52293000,0,52293000
2600,"Stand by Me",1986,52287414,0,52287414
2601,"One Hour Photo",2002,31597131,20626175,52223306
2602,"Nowhere to Run",1993,22189039,30000000,52189039
2603,"10",1979,52134699,0,52134699
2604,"Bareilly Ki Barfi",2017,0,52117236,52117236
2605,"The Outlaws",2017,0,52097753,52097753
2606,"Ekipazh",2016,0,52092388,52092388
2607,"South Park: Bigger, Longer & Uncut",1999,52037603,0,52037603
2608,"Amadeus",1984,51973029,0,51973029
2609,"The Age of Shadows",2016,540268,51407834,51948102
2610,"Hanging Up",2000,36037909,15829814,51867723
2611,"Peppermint",2018,35418723,16393677,51812400
2612,"1987: When the Day Comes",2017,0,51774683,51774683
2613,"I Can Do Bad All By Myself",2009,51733921,0,51733921
2614,"Slender Man",2018,30564825,21158819,51723644
2615,"Himalaya",2015,696717,51009970,51706687
2616,"Maximum Risk",1996,14102929,37600000,51702929
2617,"Homefront",2013,20158492,31536870,51695362
2618,"Biloxi Blues",1988,43184798,8500000,51684798
2619,"Awakenings",1990,51636504,0,51636504
2620,"Teen Titans Go! To The Movies",2018,29790236,21830357,51620593
2621,"Blue Crush",2002,40118420,11500000,51618420
2622,"Goksung",2016,786633,50752929,51539562
2623,"Eiga Doraemon: Shin Nobita no Nippon tanjou",2016,0,51509375,51509375
2624,"Daybreakers",2010,30101577,21343926,51445503
2625,"Sneakers",1992,51433000,0,51433000
2626,"Breaking In",2018,46840590,4571030,51411620
2627,"Bei Shang Ni Liu Cheng He",2018,0,51400598,51400598
2628,"Astérix: Le domaine des dieux",2014,1656287,49723183,51379470
2629,"Mortal Kombat: Annihilation",1997,35927406,15400000,51327406
2630,"Hooper",1978,51290536,0,51290536
2631,"Fargo",1996,24567751,26636816,51204567
2632,"Bodyguard",2011,1834384,49285374,51119758
2633,"Silver Streak",1976,51079064,0,51079064
2634,"The Family",2013,36918811,14159730,51078541
2635,"Oh, God!",1977,51061196,0,51061196
2636,"All the President's Men",1976,51048435,0,51048435
2637,"Naked Gun 33 1/3: The Final Insult",1994,51041856,0,51041856
2638,"Las aventuras de Tadeo Jones",2012,0,51029081,51029081
2639,"Master",2016,584298,50423395,51007693
2640,"Enough",2002,39177215,11793445,50970660
2641,"Team America: World Police",2004,32774834,18173977,50948811
2642,"Bull Durham",1988,50888729,0,50888729
2643,"Nine Lives",2016,19700032,31180953,50880985
2644,"College Road Trip",2008,45610425,5263498,50873923
2645,"Yeh Jawaani Hai Deewani",2013,3827466,47000000,50827466
2646,"Coco avant Chanel",2009,6113834,44700000,50813834
2647,"You Got Served",2004,40066497,10745361,50811858
2648,"A Bridge Too Far",1977,50800000,0,50800000
2649,"Song of Youth",2019,0,50780000,50780000
2650,"Gekijouban Pokketo monsutâ Besuto wisshu: Pikut…",2011,0,50776443,50776443
2651,"Feng Bao",2013,0,50770000,50770000
2652,"Hable con ella",2002,9284265,41484015,50768280
2653,"The Mighty Ducks",1992,50752337,0,50752337
2654,"August: Osage County",2013,37738810,13000000,50738810
2655,"Sea Monsters: A Prehistoric Adventure",2007,23746066,26982097,50728163
2656,"Elizabethtown",2005,26850426,23868947,50719373
2657,"Bonnie and Clyde",1967,50700000,0,50700000
2658,"Bride of Chucky",1998,32404188,18288000,50692188
2659,"The Deep",1977,50681884,0,50681884
2660,"Meet Dave",2008,11803254,38845552,50648806
2661,"The Master",2012,16247159,34400257,50647416
2662,"The Crow",1994,50638075,0,50638075
2663,"Mighty Joe Young",1998,50632037,0,50632037
2664,"Notes on a Scandal",2006,17510118,33068293,50578411
2665,"The Love Bug",1969,50576808,0,50576808
2666,"The Texas Chainsaw Massacre: The Beginning",2006,39517763,11000000,50517763
2667,"Eddie Murphy Raw",1987,50504655,0,50504655
2668,"Diary of a Mad Black Woman",2005,50406346,52010,50458356
2669,"About Last Night",2014,48637684,1808176,50445860
2670,"Hollywood Homicide",2003,30207785,20201968,50409753
2671,"Red Tails",2012,49876377,489121,50365498
2672,"Concussion",2015,34531832,15831958,50363790
2673,"Nightcrawler",2014,32381218,17953200,50334418
2674,"K-PAX",2001,50315140,0,50315140
2675,"Natural Born Killers",1994,50282766,0,50282766
2676,"Angels in the Outfield",1994,50236831,0,50236831
2677,"Grindhouse",2007,25031037,25156752,50187789
2678,"Sphere",1998,37068294,13100000,50168294
2679,"Supercondriaque",2014,0,50160446,50160446
2680,"Breakdown",1997,50159144,0,50159144
2681,"Winnie the Pooh",2011,26692846,23452761,50145607
2682,"The Women",2008,26902075,23201733,50103808
2683,"The Longest Day",1962,39100000,11000000,50100000
2684,"Fever Pitch",2005,42071069,8000000,50071069
2685,"Absolute Power",1997,50068310,0,50068310
2686,"The Replacements",2000,44737059,5317452,50054511
2687,"When a Man Loves a Woman",1994,50021959,0,50021959
2688,"The Deer Hunter",1979,50000000,9253,50009253
2689,"A Walk in the Clouds",1995,50008143,0,50008143
2690,"Little Women",1994,50003303,0,50003303
2691,"Reds",1981,50000000,0,50000000
2692,"Raising Helen",2004,37485528,12443152,49928680
2693,"Capote",2005,28750530,21173549,49924079
2694,"The Way We Were",1973,49919870,0,49919870
2695,"The Hurt Locker",2009,17017811,32876412,49894223
2696,"The Switch",2010,27758465,22100000,49858465
2697,"Legal Eagles",1986,49851591,0,49851591
2698,"Popeye",1980,49823037,0,49823037
2699,"Bakemono no ko",2015,490643,49323139,49813782
2700,"Pleasantville",1998,40584421,9221041,49805462
2701,"Leaving Las Vegas",1995,31983777,17816223,49800000
2702,"Major League",1989,49793054,0,49793054
2703,"Planes, Trains & Automobiles",1987,49509935,242306,49752241
2704,"Kokuriko-zaka Kara",2013,1000878,48742934,49743812
2705,"This Christmas",2007,49121934,611611,49733545
2706,"Sky Captain and the World of Tomorrow",2004,37760080,11970774,49730854
2707,"Ip Man: Legend of the Grand Master",2011,205675,49516279,49721954
2708,"La ch'tite famille",2018,0,49690586,49690586
2709,"Drillbit Taylor",2008,32862104,16824159,49686263
2710,"How Do You Know?",2010,30212620,19415557,49628177
2711,"The Ant Bully",2006,28142535,21468363,49610898
2712,"Oliver & Company",1988,49576671,0,49576671
2713,"Surprise: Journey to the West",2015,0,49576645,49576645
2714,"The Fourth Kind",2009,26218170,23268704,49486874
2715,"Dark Water",2005,25473093,24000000,49473093
2716,"Shampoo",1975,49407734,0,49407734
2717,"National Lampoon's European Vacation",1985,49400000,0,49400000
2718,"A Nightmare on Elm Street 4: The Dream Master",1988,49369899,0,49369899
2719,"The Finest Hours",2016,27569558,21683203,49252761
2720,"The Black Dahlia",2006,22672813,26565712,49238525
2721,"Operation Chromite",2016,1022720,48173812,49196532
2722,"The Last King of Scotland",2006,17606684,31548687,49155371
2723,"Hwa-ryeo-han hyuga",2007,0,49136551,49136551
2724,"The Negotiator",1998,44705766,4400000,49105766
2725,"Bugsy",1991,49103967,0,49103967
2726,"Demain Tout Commence",2014,0,49070099,49070099
2727,"Cobra",1986,49042224,0,49042224
2728,"Danny the Dog",2005,24537621,24500000,49037621
2729,"So Young 2: Never Gone",2016,96421,48905977,49002398
2730,"Arthur et la vengeance de Maltazard",2011,347136,48648356,48995492
2731,"Death at a Funeral",2010,42739347,6237886,48977233
2732,"Alpha and Omega 3D",2010,25107267,23851086,48958353
2733,"The Rescuers",1977,48775599,0,48775599
2734,"She's Out of My League",2010,32010860,16670117,48680977
2735,"The Avengers",1998,23385416,25200000,48585416
2736,"Death Wish",2018,34017028,14558937,48575965
2737,"Isn’t it Romantic",2019,48573712,0,48573712
2738,"The Omen",1976,48570885,0,48570885
2739,"Fat Albert",2004,48114556,449000,48563556
2740,"9",2009,31749894,16810105,48559999
2741,"Parker",2013,17616641,30926747,48543388
2742,"Frozen",2010,246177,48286888,48533065
2743,"Les petits mouchoirs",2012,205505,48325382,48530887
2744,"Charlie St. Cloud",2010,31206263,17271821,48478084
2745,"Magnolia",1999,22450975,25995827,48446802
2746,"The Big Wedding",2013,21819348,26606623,48425971
2747,"The Last Stand",2013,12050299,36280458,48330757
2748,"Her",2014,25568251,22690780,48259031
2749,"Malcolm X",1992,48169910,0,48169910
2750,"G.I. Jane",1997,48169156,0,48169156
2751,"Red Dawn",2012,44806783,3357367,48164150
2752,"The Preacher's Wife",1996,48102795,0,48102795
2753,"Tightrope",1984,48100000,0,48100000
2754,"Kong tian liè",2017,0,48069252,48069252
2755,"Scott Pilgrim vs. The World",2010,31611316,16445448,48056764
2756,"Single White Female",1992,48017402,0,48017402
2757,"Welcome to Dongmakgol",2005,0,48000000,48000000
2758,"Sutekina kanashibari",2011,0,47966182,47966182
2759,"Wayne's World 2",1993,47965000,0,47965000
2760,"Sunny",2011,0,47958698,47958698
2761,"The Natural",1984,47951979,0,47951979
2762,"The Blue Lagoon",1980,47923795,0,47923795
2763,"Secondhand Lions",2003,42070939,5831627,47902566
2764,"High Fidelity",2000,27277055,20604608,47881663
2765,"Tyler Perry’s Boo 2! A Madea Halloween",2017,47319572,560000,47879572
2766,"Ji Qi Zhi Xue",2017,0,47872755,47872755
2767,"Trouble with the Curve",2012,35763137,12055776,47818913
2768,"Arthur",2011,33035397,14752546,47787943
2769,"Shutter",2008,25928550,21853876,47782426
2770,"Prem Ratan Dhan Payo",2015,4364639,43400000,47764639
2771,"George A. Romero's Land of the Dead",2005,20700082,27050933,47751015
2772,"Book of Shadows: Blair Witch 2",2000,26421314,21300000,47721314
2773,"Hachiko: A Dog's Story",2010,0,47707417,47707417
2774,"Texas Chainsaw 3D",2013,34341945,13324068,47666013
2775,"New Jack City",1991,47624253,0,47624253
2776,"The World's End",2013,26004851,21503654,47508505
2777,"An American Tail",1986,47483002,0,47483002
2778,"The Rescuers Down Under",1990,27931461,19500000,47431461
2779,"Les Tuche 3",2018,0,47427990,47427990
2780,"Crazy Heart",2009,39471742,7945509,47417251
2781,"Phantom Thread",2017,21198205,26212201,47410406
2782,"Man on the Moon",1999,34580635,12827000,47407635
2783,"Hard To Kill",1990,47381386,141,47381527
2784,"Almost Famous",2000,32522352,14848839,47371191
2785,"Walking Tall",2004,46213824,1100000,47313824
2786,"<U+9577><U+6C5F><U+4E03><U+865F> (CJ7)",2008,206678,47094093,47300771
2787,"Darkness Falls",2003,32539681,14750077,47289758
2788,"Airport 1975",1974,47285152,0,47285152
2789,"The Watcher",2000,28946615,18321214,47267829
2790,"The Hunted",2003,34234008,12979087,47213095
2791,"The Wedding Date",2005,31726995,15448043,47175038
2792,"Soul Surfer",2011,43853424,3305228,47158652
2793,"The Toy",1982,47118057,0,47118057
2794,"Fantastic Mr. Fox",2009,21002919,26080493,47083412
2795,"Meitantei Conan: Chinmoku no kuôtâ",2011,0,47024973,47024973
2796,"Dabangg",2010,1288549,45728469,47017018
2797,"The Place Beyond the Pines",2013,21403519,25607930,47011449
2798,"Desu Noto 2",2009,0,47000000,47000000
2799,"Xiong Chu Mei Zhi Xue Ling Xiong Feng",2015,0,46998773,46998773
2800,"Urban Cowboy",1980,46918287,0,46918287
2801,"See No Evil, Hear No Evil",1989,46900000,0,46900000
2802,"Rough Night",2017,22105643,24738714,46844357
2803,"Chef",2014,31424004,15405305,46829309
2804,"Deck the Halls",2006,35093569,11722238,46815807
2805,"Death at a Funeral",2007,8580428,38210000,46790428
2806,"Goodfellas",1990,46743809,33538,46777347
2807,"The Spy Next Door",2010,24307106,22445752,46752858
2808,"Fortress",1993,6730578,40000000,46730578
2809,"Fletch",1985,46700000,0,46700000
2810,"Get Rich or Die Tryin'",2005,30981850,15685105,46666955
2811,"Dog Day Afternoon",1975,46665856,0,46665856
2812,"Under the Sea 3D",2009,36006061,10638746,46644807
2813,"The Wrestler",2008,26238243,20396032,46634275
2814,"Acrimony",2018,43549096,3078740,46627836
2815,"Colors",1988,46616067,0,46616067
2816,"Look Who's Talking Too",1990,46614448,0,46614448
2817,"The Debt",2011,31177548,15426506,46604054
2818,"Bangkok Dangerous",2008,15298133,31300000,46598133
2819,"Dvizhenie Vverkh",2017,0,46592513,46592513
2820,"The Rocketeer",1991,46573027,0,46573027
2821,"The Brady Bunch Movie",1995,46546167,0,46546167
2822,"Uncle Drew",2018,42469946,4057215,46527161
2823,"The Last House on the Left",2009,32752215,13774028,46526243
2824,"How the West Was Won",1963,46500000,0,46500000
2825,"Entourage",2015,32363404,14075134,46438538
2826,"The Distinguished Gentleman",1992,46434570,0,46434570
2827,"A Monster Calls",2016,3740823,42673707,46414530
2828,"Machete",2010,26593646,19777324,46370970
2829,"The Paper",1994,36768310,9600000,46368310
2830,"The Nativity Story",2006,37629831,8679813,46309644
2831,"Miracle on 34th Street",1994,17195886,29100000,46295886
2832,"Addams Family Values",1993,46293855,0,46293855
2833,"Des Hommes et Des Dieux",2011,3954651,42308874,46263525
2834,"Qi Man Dun Jia",2017,124187,46139046,46263233
2835,"Risen",2016,36880033,9375730,46255763
2836,"The Enforcer",1976,46200000,0,46200000
2837,"The Big Lebowski",1998,17498804,28690764,46189568
2838,"Torque",2004,21176322,25000000,46176322
2839,"One Fine Day",1996,46169663,0,46169663
2840,"Huang Jin Xiong Di",2018,285795,45879283,46165078
2841,"Er Dai Yao Jing",2017,0,46154324,46154324
2842,"Napoleon Dynamite",2004,44540956,1581757,46122713
2843,"Deliverance",1972,46122355,0,46122355
2844,"For Love of the Game",1999,35188640,10924000,46112640
2845,"A Walk to Remember",2002,41227069,4833792,46060861
2846,"Malice",1993,46038636,0,46038636
2847,"The Nanny Diaries",2007,25926673,20064522,45991195
2848,"Mr. Brooks",2007,28476219,17512793,45989012
2849,"The Rainmaker",1997,45916769,0,45916769
2850,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,45900000,0,45900000
2851,"Black Rain",1989,45892212,0,45892212
2852,"Zan men jie hun ba",2015,461996,45420000,45881996
2853,"The Breakfast Club",1985,45875171,0,45875171
2854,"Gunhamdo",2017,1104957,44767484,45872441
2855,"Mary Queen of Scots",2018,16468499,29403190,45871689
2856,"Brewster's Millions",1985,40800000,5000000,45800000
2857,"Firefox",1982,45785720,0,45785720
2858,"Take Off",2009,0,45743246,45743246
2859,"Gintama",2017,0,45730590,45730590
2860,"McFarland, USA",2015,44480275,1227649,45707924
2861,"Xin Li Zui",2017,0,45698504,45698504
2862,"Man on a Ledge",2012,18620000,27068337,45688337
2863,"RoboCop 2",1990,45681173,0,45681173
2864,"Hot Pursuit",2015,34580201,11091311,45671512
2865,"You yi ge di fang zhi you wo men zhi dao",2015,482013,45160000,45642013
2866,"D2: The Mighty Ducks",1994,45604206,0,45604206
2867,"Dancer in the Dark",2000,4157491,41400000,45557491
2868,"Legend of Tang Dynasty 2",2018,0,45521268,45521268
2869,"Thelma & Louise",1991,45361000,66050,45427050
2870,"Kokowaah",2013,0,45424636,45424636
2871,"Hero",2015,84961,45337587,45422548
2872,"The Life and Times of Grizzly Adams",1974,45411063,0,45411063
2873,"Keeping the Faith",2000,37036404,8300000,45336404
2874,"Wei ai zhi jian ru jia jing",2014,271734,45060000,45331734
2875,"Good Boy!",2003,37667746,7644471,45312217
2876,"The Dirty Dozen",1967,45300000,0,45300000
2877,"Eunmilhage Widaehage",2013,0,45286922,45286922
2878,"Early Man",2018,8267544,37018346,45285890
2879,"Léon",1994,19284974,26000000,45284974
2880,"Deuce Bigalow: European Gigolo",2005,22400154,22873310,45273464
2881,"Cold War",2012,0,45249153,45249153
2882,"Flatliners",2017,16883115,28290623,45173738
2883,"The Duchess",2008,13848978,31311132,45160110
2884,"The Dead End",2015,0,45110000,45110000
2885,"Eddie the Eagle",2016,15789389,29271091,45060480
2886,"Brothers",2009,28544157,16499713,45043870
2887,"Full Metal Jacket",1987,45015999,0,45015999
2888,"The Woman in Black 2: Angel of Death",2015,26501323,18505369,45006692
2889,"Convoy",1978,45000000,0,45000000
2890,"Deep Throat",1972,45000000,0,45000000
2891,"Wind River",2017,33800859,11197393,44998252
2892,"Notorious",2009,36843682,8128501,44972183
2893,"Medicine Man",1992,44948240,0,44948240
2894,"Scarface",1983,44942821,0,44942821
2895,"Boonie Bears III",2016,0,44923271,44923271
2896,"Lakeview Terrace",2008,39263506,5557793,44821299
2897,"A Nightmare On Elm Street 3: Dream Warriors",1987,44793222,0,44793222
2898,"Home",2009,15433,44777735,44793168
2899,"Midnight Cowboy",1969,44785053,0,44785053
2900,"The Shining",1980,44017374,710853,44728227
2901,"Young Guns",1988,44726644,0,44726644
2902,"Jeremiah Johnson",1972,44693786,0,44693786
2903,"Neuk-dae-so-nyeon",2012,342922,44342248,44685170
2904,"Magnum Force",1973,44680473,0,44680473
2905,"Meet Joe Black",1998,44650003,0,44650003
2906,"The Gift",2000,12008642,32558964,44567606
2907,"Ra. One",2011,2509150,42039971,44549121
2908,"The Odd Couple",1968,44527234,0,44527234
2909,"One Missed Call",2008,26890041,17623425,44513466
2910,"The Good Son",1993,44456478,0,44456478
2911,"Recess: School's Out",2001,36696761,7754709,44451470
2912,"Valley of the Dolls",1967,44432255,0,44432255
2913,"Push",2009,31811527,12600000,44411527
2914,"Bereurlin",2013,0,44403920,44403920
2915,"Clash of the Titans",1981,30000000,14400000,44400000
2916,"Winchester",2018,25091816,19286224,44378040
2917,"The Jungle Book",1994,44342956,0,44342956
2918,"The Sisterhood of the Traveling Pants 2",2008,44089964,180167,44270131
2919,"Logan Lucky",2017,27778642,16485629,44264271
2920,"The Postman Always Rings Twice",1981,12200000,32000000,44200000
2921,"Child's Play",1988,33244684,10952000,44196684
2922,"Shi Yue Wei Cheng",2011,0,44195779,44195779
2923,"Young Guns II",1990,44143410,0,44143410
2924,"Oculus",2014,27695246,16420250,44115496
2925,"House at the End of the Street",2012,31611916,12492066,44103982
2926,"Namiya Zakkaten no Kiseki",2017,0,44083821,44083821
2927,"The Boy in the Striped Pyjamas",2008,9046156,35037247,44083403
2928,"Passenger 57",1992,44065653,0,44065653
2929,"The Last Emperor",1987,43984987,20086,44005073
2930,"Semi-Pro",2008,33479698,10500665,43980363
2931,"Exorcist: The Beginning",2004,41814863,2142678,43957541
2932,"Dogma",1999,30651422,13297443,43948865
2933,"The Transporter",2002,25296447,18632485,43928932
2934,"Crank",2006,27838408,16086515,43924923
2935,"Okami Kodomo no Ame to Yuki",2012,0,43909923,43909923
2936,"Love at First Bite",1979,43900000,0,43900000
2937,"The Fox and the Hound",1981,43899231,0,43899231
2938,"Jìyì dàshi",2017,587470,43301061,43888531
2939,"Wall Street",1987,43848100,0,43848100
2940,"A Man Apart",2003,26500000,17297731,43797731
2941,"When in Rome",2010,32680633,11116304,43796937
2942,"Café Society",2016,11103205,32684994,43788199
2943,"Monster's Ball",2001,31273922,12492541,43766463
2944,"Hardball",2001,40222729,3505831,43728560
2945,"West Side Story",1961,43700000,0,43700000
2946,"Max",2015,42656255,1001902,43658157
2947,"Freedom Writers",2007,36605602,7027007,43632609
2948,"Welcome Home Roscoe Jenkins",2008,42436517,1171110,43607627
2949,"Going the Distance",2010,17804299,25799691,43603990
2950,"Police Academy 3: Back in Training",1986,43579163,0,43579163
2951,"We Are Marshall",2006,43545364,0,43545364
2952,"Fly Me To the Moon",2008,14543943,28986338,43530281
2953,"The DUFF",2015,34030343,9498291,43528634
2954,"Soul Food",1997,43492389,0,43492389
2955,"City Slickers II: The Legend of Curly's Gold",1994,43440947,0,43440947
2956,"Pride and Glory",2008,15740721,27700000,43440721
2957,"A River Runs Through It",1992,43440294,0,43440294
2958,"Feng Shen Bang",2016,143430,43272557,43415987
2959,"Jobs",2013,16131410,27271105,43402515
2960,"Harold & Kumar Escape from Guantanamo Bay",2008,38108728,5244389,43353117
2961,"Sur la piste du Marsupilami",2012,0,43343964,43343964
2962,"Last Holiday",2006,38399961,4943286,43343247
2963,"Orange County",2002,41059716,2248991,43308707
2964,"Girl with a Pearl Earring",2003,11634362,31640435,43274797
2965,"The Snowman",2017,6670765,36555381,43226146
2966,"Marked for Death",1990,43224499,0,43224499
2967,"Midway",1976,43220000,0,43220000
2968,"Boogie Nights",1997,26410771,16700954,43111725
2969,"Annihilation",2018,32732301,10338614,43070915
2970,"See Spot Run",2001,33357476,9700076,43057552
2971,"Tom yum goong",2006,12044087,31000000,43044087
2972,"The Longest Yard",1974,43008075,0,43008075
2973,"Regarding Henry",1991,43001500,0,43001500
2974,"Meatballs",1979,43000000,0,43000000
2975,"Escape from Alcatraz",1979,43000000,0,43000000
2976,"California Suite",1978,42913571,0,42913571
2977,"No Escape",2015,27288872,15555644,42844516
2978,"Carol",2015,12711491,30132030,42843521
2979,"Glory Road",2006,42647449,151611,42799060
2980,"Just Friends",2005,32596916,10200763,42797679
2981,"The Possession of Hannah Grace",2018,14836174,27949213,42785387
2982,"The Uninvited",2009,28596818,14182143,42778961
2983,"Shaolin Soccer",2004,488872,42287160,42776032
2984,"Hindi Medium",2017,0,42732776,42732776
2985,"Heartbreak Ridge",1986,42724017,0,42724017
2986,"The Electric Horseman",1979,42670138,0,42670138
2987,"Basic",2003,26599248,15999250,42598498
2988,"Pokemon 2008",2008,0,42563360,42563360
2989,"mother!",2017,17800004,24731072,42531076
2990,"Almost Christmas",2016,42065185,428321,42493506
2991,"The Four Seasons",1981,42488161,0,42488161
2992,"Robinson Crusoe",2016,8005586,34440869,42446455
2993,"To Sir With Love",1967,42432803,0,42432803
2994,"Legend",2015,1872994,40552456,42425450
2995,"Mask",1985,42417782,0,42417782
2996,"Chernobyl Diaries",2012,18119640,24292081,42411721
2997,"Forever Young",2015,149761,42237010,42386771
2998,"8 femmes",2002,3076425,39300000,42376425
2999,"My Name is Khan",2010,4046336,38309190,42355526
3000,"The Bad News Bears",1976,42349782,0,42349782
3001,"Blue Thunder",1983,42313354,0,42313354
3002,"Bullitt",1968,42300873,0,42300873
3003,"Chu zi Xi zi Pi zi",2013,0,42280000,42280000
3004,"Teenage Mutant Ninja Turtles III",1993,42273609,0,42273609
3005,"Jaws 3-D",1983,42245180,0,42245180
3006,"Love the Coopers",2015,26302731,15924759,42227490
3007,"Joheunnom nabbeunnom isanghannom",2010,128486,42098171,42226657
3008,"Bad Genius",2017,0,42197645,42197645
3009,"21 and Over",2013,25682380,16513386,42195766
3010,"Earth to Echo",2014,38934842,3239703,42174545
3011,"Dabangg 2",2012,2474674,39690424,42165098
3012,"White Nights",1985,42160849,0,42160849
3013,"In the Bedroom",2001,35930604,6207267,42137871
3014,"Loving Vincent",2017,6735118,35374780,42109898
3015,"T2: Trainspotting",2017,2402004,39689258,42091262
3016,"A Good Year",2006,7459300,34604805,42064105
3017,"Dirty Rotten Scoundrels",1988,42039000,0,42039000
3018,"Gamer",2009,20534907,21467122,42002029
3019,"Bagdad Cafe",1988,3587303,38414607,42001910
3020,"Around the World in 80 Days",1956,42000000,0,42000000
3021,"Into the Blue",2005,18782227,23200000,41982227
3022,"Meet the Browns",2008,41975388,0,41975388
3023,"Meari to majo no hana",2017,2418404,39543806,41962210
3024,"Taxi 5",2018,0,41957523,41957523
3025,"Papita 2da Base",2017,0,41950000,41950000
3026,"Holmes & Watson",2018,30568743,11357862,41926605
3027,"Quarantine",2008,31691811,10232963,41924774
3028,"A Lot Like Love",2005,21835784,20085806,41921590
3029,"Meitantei Conan: Juichi-ninme no Striker",2012,0,41863105,41863105
3030,"The Return of the Pink Panther",1975,41833347,0,41833347
3031,"Homeward Bound: The Incredible Journey",1993,41833324,0,41833324
3032,"As Above, So Below",2014,21222315,20601751,41824066
3033,"Eiga Doraemon: Nobita no Getsumen Tansaki",2019,0,41814288,41814288
3034,"The Fisher King",1991,41798224,0,41798224
3035,"Balls of Fury",2007,32886940,8893086,41780026
3036,"The Informant!",2009,33316821,8454347,41771168
3037,"Ansisung",2018,472166,41282567,41754733
3038,"Casino Royale",1967,22744718,19000000,41744718
3039,"Easy Rider",1969,41728598,0,41728598
3040,"Still Alice",2015,18656400,23043212,41699612
3041,"Sado",2015,0,41695667,41695667
3042,"Cheech & Chong's Next Movie",1980,41675194,0,41675194
3043,"Wimbledon",2004,16862585,24803891,41666476
3044,"Di Qiu Zui Hou De Ye Wang",2018,129888,41526989,41656877
3045,"The Gallows",2015,22764410,18892064,41656474
3046,"Dream House",2011,21302340,20339826,41642166
3047,"Astro Boy",2009,19551067,22085176,41636243
3048,"Call Me by Your Name",2017,18065180,23552537,41617717
3049,"Up in Smoke",1978,41590893,0,41590893
